ID_Licitacion,Organismo_Convocante,Objeto,Fecha_Publicacion,Fecha_Cierre,Monto_Estimado,Empresa_Ganadora,Monto_Adjudicado,Proceso_Seleccion,Participantes,Relacion_Funcionario_Ganador,Es_Irregular
20,Aguirre-Ayala,Servicios de Consultoría,2025-01-16,2025-02-25,3432130.8801149996,"Campos, Torres and Martinez",3579089.0556653473,Concurso de Precios,3,0,0
21,Cruz and Sons,Servicios de Consultoría,2025-02-14,2025-05-03,426847.7544769859,"Sanchez, Gonzalez and Rodriguez",2263226.88820673,Licitación Pública,1,1,0
22,"Franco, Benitez and Guzman",Mantenimiento,2025-01-03,2025-03-17,4263474.224541405,Miranda and Sons,1078704.9661402358,Contratación Directa,3,0,0
23,Sanchez and Sons,Mantenimiento,2025-03-02,2025-04-28,2500975.308719173,Gomez-Ledesma,2579169.888452107,Contratación Directa,2,0,0
24,Diaz Ltd,Servicios de Consultoría,2025-02-04,2025-04-16,2428903.5577669074,Arias and Sons,375997.0706223162,Licitación Pública,3,0,0
25,Gonzalez-Godoy,Servicios de Consultoría,2025-02-03,2025-03-09,2982418.5340646124,Gonzalez Ltd,3045062.5768687255,Concurso de Precios,4,0,0
26,"Moreno, Cruz and Aguero",Construcción de Obra,2025-01-16,2025-04-11,4132170.7813294884,"Avila, Acosta and Herrera",1431660.9998629284,Concurso de Precios,2,1,0
27,"Mendez, Torres and Gimenez",Construcción de Obra,2025-02-01,2025-05-02,1771655.5791158555,Flores LLC,4156417.163784705,Contratación Directa,2,0,0
28,Ramirez Ltd,Suministro de Equipamiento,2025-02-24,2025-04-03,3406179.955167365,"Valdez, Acuña and Fernandez",1644915.8982510227,Licitación Pública,3,1,0
29,Ledesma-Ortiz,Suministro de Equipamiento,2025-03-21,2025-04-06,2850373.221779166,Velazquez-Mendoza,2391659.868516685,Licitación Pública,1,0,0
30,Juarez-Fernandez,Suministro de Equipamiento,2025-01-06,2025-05-28,1371789.9373386356,"Aguirre, Castillo and Sanchez",104903.88322625877,Licitación Pública,1,0,0
31,Bustos-Paez,Servicios de Consultoría,2025-01-29,2025-05-02,4399218.432458032,"Alvarez, Duarte and Caceres",418463.706580951,Contratación Directa,1,1,0
32,"Sosa, Diaz and Ortiz",Suministro de Equipamiento,2025-01-14,2025-04-10,3997258.806954294,"Torres, Vega and Barrios",2068304.2832764601,Concurso de Precios,1,1,0
33,"Romero, Fernandez and Romero",Suministro de Equipamiento,2025-02-06,2025-03-24,3309336.5815592064,Rodriguez-Ayala,2519084.692966772,Contratación Directa,3,0,0
34,Ramos-Rodriguez,Servicios de Consultoría,2025-03-18,2025-04-06,4260379.559016498,Gonzalez and Sons,3138105.925555011,Concurso de Precios,4,0,0
35,Gonzalez-Blanco,Suministro de Equipamiento,2025-01-08,2025-04-03,4343106.294751022,Romero Inc,1548520.593246458,Concurso de Precios,2,0,0
36,"Garcia, Garcia and Sosa",Suministro de Equipamiento,2025-02-25,2025-05-13,3556396.7347394223,Rodriguez-Nuñez,3627631.622982327,Contratación Directa,5,1,0
37,Ruiz-Romero,Servicios de Consultoría,2025-01-17,2025-04-27,4193215.9754001764,Romero LLC,4478930.957510349,Concurso de Precios,1,0,0
38,Gonzalez-Coronel,Suministro de Equipamiento,2025-02-12,2025-02-10,3502483.735262954,Campos PLC,4065131.8477452183,Contratación Directa,4,0,0
39,Sosa LLC,Mantenimiento,2025-01-04,2025-02-12,3416696.820213487,Cabrera Group,249235.0446707811,Licitación Pública,2,0,0
40,Romero Ltd,Construcción de Obra,2025-02-15,2025-04-15,3112126.3221651623,"Herrera, Gomez and Olivera",2522013.313114108,Concurso de Precios,4,0,0
41,"Rodriguez, Rodriguez and Perez",Servicios de Consultoría,2025-01-03,2025-04-29,3775947.365810324,"Castillo, Diaz and Perez",585915.0697456915,Licitación Pública,1,0,0
42,Olivera and Sons,Suministro de Equipamiento,2025-02-07,2025-04-26,835095.2712007149,Rios-Rodriguez,1292742.0567713291,Licitación Pública,4,0,0
43,"Rivero, Toledo and Perez",Servicios de Consultoría,2025-02-12,2025-03-01,4410310.258034696,"Martinez, Olivera and Peralta",5131245.66829214,Contratación Directa,4,0,0
44,Herrera-Villalba,Servicios de Consultoría,2025-01-30,2025-05-09,4365625.462338898,Dominguez PLC,779564.5236573007,Concurso de Precios,5,1,0
45,Flores-Gutierrez,Servicios de Consultoría,2025-03-11,2025-05-19,194774.05102106777,Garcia and Sons,2616768.4310417403,Concurso de Precios,1,1,0
46,Ferreyra PLC,Construcción de Obra,2025-01-18,2025-03-03,4137792.9152955753,Vera-Rodriguez,3231592.810409904,Concurso de Precios,5,0,0
47,Sanchez-Figueroa,Suministro de Equipamiento,2025-03-04,2025-05-16,687905.8439935538,Diaz PLC,3666206.923154856,Licitación Pública,4,0,0
48,Juarez and Sons,Mantenimiento,2025-01-28,2025-01-18,1708838.3285827525,Gutierrez Inc,2929988.963375042,Contratación Directa,2,0,0
49,"Acosta, Molina and Martinez",Servicios de Consultoría,2025-03-08,2025-01-25,3730365.8686434585,Navarro Ltd,95368.71844589176,Concurso de Precios,2,0,0
50,Rios-Gonzalez,Servicios de Consultoría,2025-03-14,2025-03-11,845761.4854391256,"Diaz, Luna and Aguirre",1727908.043997778,Licitación Pública,1,0,0
51,Bustos Ltd,Suministro de Equipamiento,2025-02-13,2025-04-11,4098936.769389358,Martinez-Vargas,2713803.521648187,Contratación Directa,3,0,0
52,Vera-Soria,Construcción de Obra,2025-01-07,2025-02-09,4169064.1808908223,Rojas Ltd,497951.80309161596,Concurso de Precios,2,0,0
53,Guzman-Hernandez,Suministro de Equipamiento,2025-03-22,2025-04-15,2561965.2821161393,Ortiz-Gimenez,1852481.8303833269,Licitación Pública,2,0,0
54,Vega-Ortiz,Suministro de Equipamiento,2025-01-02,2025-03-30,81610.06499832621,"Godoy, Garcia and Campos",216162.02581949465,Licitación Pública,2,0,0
55,"Aguero, Rodriguez and Romero",Mantenimiento,2025-03-14,2025-02-08,1470838.7592158183,"Pereyra, Ferreyra and Alvarez",450072.1528341319,Licitación Pública,2,0,0
56,Soto and Sons,Suministro de Equipamiento,2025-01-22,2025-03-02,3103788.245959924,Gonzalez-Lopez,2091139.4888192278,Licitación Pública,1,0,0
57,Gonzalez-Maidana,Construcción de Obra,2025-02-09,2025-02-24,4906871.581235746,Valdez Inc,729149.7120919761,Contratación Directa,3,1,0
58,Acosta and Sons,Construcción de Obra,2025-01-29,2025-04-01,3177476.9587325086,Dominguez-Sanchez,2970673.072788332,Concurso de Precios,1,1,0
59,Cordoba-Coronel,Construcción de Obra,2025-01-27,2025-04-26,1336027.726267591,Gonzalez-Ayala,3599191.915902605,Contratación Directa,4,0,0
60,Martinez-Figueroa,Mantenimiento,2025-03-07,2025-03-16,3188328.2303430764,"Rodriguez, Romero and Pereyra",4172024.433907322,Contratación Directa,3,0,0
61,"Martinez, Lopez and Martin",Construcción de Obra,2025-02-16,2025-03-29,2722927.6295934846,"Caceres, Gonzalez and Vera",1076774.509081996,Concurso de Precios,3,0,0
62,Martinez Ltd,Servicios de Consultoría,2025-01-31,2025-05-30,3910234.705998161,Dominguez-Martinez,908372.7115455046,Licitación Pública,2,0,0
63,Soto-Rodriguez,Mantenimiento,2025-03-02,2025-05-07,579554.1621934441,"Dominguez, Rojas and Juarez",584047.2169238334,Licitación Pública,4,0,0
64,Juarez and Sons,Mantenimiento,2025-02-05,2025-05-18,3817088.1173850386,"Quiroga, Molina and Toledo",3325797.9363974473,Concurso de Precios,4,0,0
65,Gonzalez-Gutierrez,Construcción de Obra,2025-02-20,2025-03-24,2729269.564446746,Maidana Ltd,3686882.3700399753,Licitación Pública,1,0,0
66,Acosta-Perez,Suministro de Equipamiento,2025-02-11,2025-04-03,4816810.419102023,"Rojas, Chavez and Gonzalez",207826.5765761847,Contratación Directa,4,0,0
67,Sanchez LLC,Construcción de Obra,2025-03-05,2025-03-22,1742267.221891496,Moyano Group,4871174.129386221,Contratación Directa,5,0,0
68,Mendez LLC,Mantenimiento,2025-03-12,2025-03-20,3181478.371013043,"Diaz, Romero and Rodriguez",312911.9672233403,Contratación Directa,5,0,0
69,Mendoza-Ortiz,Mantenimiento,2025-01-04,2025-05-07,4663539.122274587,"Rojas, Martin and Gomez",2835382.6084770183,Concurso de Precios,4,0,0
70,Martinez Group,Suministro de Equipamiento,2025-03-22,2025-03-27,557423.1535538624,Ruiz-Gutierrez,3700206.977769474,Concurso de Precios,4,0,0
71,"Morales, Medina and Ojeda",Mantenimiento,2025-02-09,2025-01-21,4689281.011820433,Perez-Martinez,4534845.832911071,Licitación Pública,3,0,0
72,Rodriguez-Rojas,Construcción de Obra,2025-01-02,2025-04-16,3455034.325389026,"Ojeda, Sanchez and Rojas",3726118.1351426654,Licitación Pública,2,0,0
73,Moreno LLC,Servicios de Consultoría,2025-01-16,2025-03-02,385793.44257060095,Bustos Ltd,4177908.2682247767,Concurso de Precios,4,1,0
74,Lopez-Fernandez,Servicios de Consultoría,2025-02-18,2025-05-01,1539769.6563867405,Peralta Inc,1794865.7425581652,Licitación Pública,2,0,0
75,Martinez-Alvarez,Mantenimiento,2025-01-13,2025-03-04,3555451.838794144,Ojeda Group,4245423.461363271,Concurso de Precios,1,0,0
76,Acosta-Herrera,Construcción de Obra,2025-01-13,2025-05-09,383385.4772704199,Quiroga-Sosa,457992.03311300033,Licitación Pública,3,1,0
77,"Gonzalez, Molina and Quiroga",Mantenimiento,2025-03-05,2025-02-12,2931743.7778725526,"Gutierrez, Medina and Benitez",4657779.86199202,Licitación Pública,5,0,0
78,Medina-Aguirre,Construcción de Obra,2025-01-04,2025-05-15,1762121.1319171358,"Romero, Bustos and Blanco",2867838.6990725105,Concurso de Precios,5,0,0
79,Sanchez-Moyano,Construcción de Obra,2025-02-28,2025-03-21,3123531.8129490116,Coronel LLC,4258170.004156655,Licitación Pública,2,0,0
80,"Quiroga, Sanchez and Gomez",Servicios de Consultoría,2025-02-03,2025-04-30,276423.0673719386,Ramirez-Sanchez,2376700.756691837,Contratación Directa,3,1,0
81,"Paez, Molina and Avila",Suministro de Equipamiento,2025-02-26,2025-04-03,4364107.190454262,Ruiz-Molina,3362643.0187380863,Licitación Pública,3,1,0
82,Quiroga LLC,Servicios de Consultoría,2025-01-31,2025-05-21,4868770.397428115,Suarez-Cordoba,2758605.7171256635,Contratación Directa,2,1,0
83,Perez-Lopez,Suministro de Equipamiento,2025-02-13,2025-03-22,4845945.383664173,Gomez Group,3816343.9846487357,Licitación Pública,1,0,0
84,"Farias, Juarez and Ferreyra",Construcción de Obra,2025-02-02,2025-02-01,3760776.5671274774,Dominguez-Pereyra,465802.55736768927,Licitación Pública,3,0,0
85,"Miranda, Morales and Ortiz",Construcción de Obra,2025-02-05,2025-04-07,693926.8886466282,"Aguero, Ortiz and Acosta",356114.9929713564,Contratación Directa,3,0,0
86,"Pereyra, Rios and Ruiz",Suministro de Equipamiento,2025-02-09,2025-04-16,3803402.819848662,Gomez-Rivero,1318817.171322305,Contratación Directa,2,1,0
87,Sanchez-Franco,Suministro de Equipamiento,2025-02-23,2025-06-03,171705.23647106747,Peralta Inc,867452.8259834859,Concurso de Precios,4,0,0
88,Molina-Martinez,Construcción de Obra,2025-03-20,2025-02-16,159511.5800685364,Moreno-Blanco,4539044.2857828,Contratación Directa,1,1,0
89,Moyano PLC,Servicios de Consultoría,2025-01-04,2025-03-07,1651870.584790229,Maidana Group,1175048.1048307184,Concurso de Precios,3,1,0
90,"Perez, Cabrera and Garcia",Mantenimiento,2025-02-28,2025-05-17,2468783.792503095,Pereyra Group,5075585.393747622,Licitación Pública,4,1,0
91,Gomez Ltd,Suministro de Equipamiento,2025-03-24,2025-03-01,3863516.7181485766,"Herrera, Juarez and Lopez",1781697.8065800557,Concurso de Precios,4,0,0
92,Rodriguez-Gomez,Construcción de Obra,2025-01-17,2025-05-19,3432312.114202201,"Gomez, Suarez and Alvarez",983817.8553752447,Concurso de Precios,3,0,0
93,Ojeda-Pereyra,Mantenimiento,2025-02-12,2025-03-07,2257218.396564904,Muñoz Group,4115895.80431948,Contratación Directa,3,0,0
94,"Hernandez, Acuña and Pereyra",Servicios de Consultoría,2025-03-18,2025-04-06,1404451.998094246,"Rivero, Suarez and Castro",3440638.5827070163,Contratación Directa,5,0,0
95,Martinez-Carrizo,Construcción de Obra,2025-01-25,2025-05-05,4985766.27578067,Aguirre Inc,2613198.918315931,Licitación Pública,3,0,0
96,Rojas Ltd,Suministro de Equipamiento,2025-02-10,2025-05-23,2159597.446068066,Dominguez Inc,2907899.105083489,Licitación Pública,4,1,0
97,"Villalba, Molina and Gutierrez",Mantenimiento,2025-02-16,2025-02-25,2284365.7704318934,"Lopez, Maldonado and Benitez",3752485.16699352,Concurso de Precios,5,0,0
98,"Nuñez, Perez and Vega",Construcción de Obra,2025-01-29,2025-03-13,859937.9148987625,"Guzman, Dominguez and Garcia",1222684.191562845,Licitación Pública,3,0,0
99,Sosa Group,Suministro de Equipamiento,2025-01-13,2025-05-02,3984307.2663121503,Chavez-Perez,5181101.337272504,Contratación Directa,4,0,0
100,Lopez Inc,Construcción de Obra,2025-01-18,2025-02-18,3483727.017618369,Lopez Inc,5070058.750866667,Concurso de Precios,2,1,0
101,"Romero, Arias and Bustos",Suministro de Equipamiento,2025-01-31,2025-04-01,1142809.583304364,Barrios PLC,3397428.9131184597,Contratación Directa,1,0,0
102,Morales-Luna,Mantenimiento,2025-02-11,2025-03-05,457786.1757984213,Cabrera Inc,1073641.3345397431,Licitación Pública,5,1,0
103,Diaz Group,Mantenimiento,2025-02-01,2025-01-25,3418471.5452698297,Aguero-Godoy,3551576.589733307,Concurso de Precios,3,0,0
104,Miranda-Gimenez,Mantenimiento,2025-02-14,2025-03-25,3289830.5106916195,"Peralta, Lopez and Maldonado",417182.79828765144,Concurso de Precios,4,0,0
105,Aguero and Sons,Mantenimiento,2025-02-14,2025-05-01,1402634.6586411363,Ramos PLC,203013.64887093025,Licitación Pública,3,0,0
106,Ponce and Sons,Mantenimiento,2025-01-18,2025-04-05,4756774.633139531,Coronel-Figueroa,1373355.2902753064,Concurso de Precios,2,1,0
107,Gonzalez-Guzman,Mantenimiento,2025-01-31,2025-03-07,797736.5643154562,Chavez Group,2429821.3419911754,Concurso de Precios,4,0,0
108,"Acosta, Lopez and Herrera",Suministro de Equipamiento,2025-02-16,2025-05-02,2190057.2651608796,Molina-Mendoza,4520944.765380202,Concurso de Precios,2,0,0
109,Farias-Ruiz,Suministro de Equipamiento,2025-03-22,2025-04-15,4720898.804829614,"Cordoba, Lucero and Flores",3793556.5546453176,Concurso de Precios,4,0,0
110,Sosa Inc,Servicios de Consultoría,2025-03-03,2025-03-01,2127650.2187843053,Fernandez PLC,3873652.116785902,Contratación Directa,4,1,0
111,Flores-Martinez,Suministro de Equipamiento,2025-03-21,2025-04-13,3210703.4409372234,Ruiz Ltd,2238418.1390798283,Licitación Pública,4,1,0
112,Peralta-Pereyra,Servicios de Consultoría,2025-01-30,2025-04-18,2018092.2699158317,Carrizo PLC,1828294.8865795939,Licitación Pública,5,0,0
113,Leiva and Sons,Construcción de Obra,2025-03-23,2025-04-18,1407365.2516259167,Mansilla and Sons,1957704.8231856269,Contratación Directa,2,1,0
114,"Acosta, Gomez and Garcia",Construcción de Obra,2025-01-11,2025-02-26,4920689.357401149,Herrera-Benitez,5136333.5010593785,Licitación Pública,5,0,0
115,Diaz-Pereyra,Suministro de Equipamiento,2025-02-16,2025-03-28,2076203.331259463,"Mendez, Moreno and Gonzalez",251762.88173134718,Contratación Directa,3,1,0
116,Ruiz-Gonzalez,Servicios de Consultoría,2025-03-07,2025-04-18,4475791.058211715,Aguirre-Sanchez,4514547.362511222,Licitación Pública,1,0,0
117,Correa-Ruiz,Servicios de Consultoría,2025-03-03,2025-05-13,1188275.2991608765,"Acosta, Perez and Medina",3028071.731190688,Concurso de Precios,5,0,0
118,Barrios PLC,Construcción de Obra,2025-01-08,2025-03-12,1104868.2849241623,Sanchez PLC,2306062.485922339,Licitación Pública,5,0,0
119,"Torres, Romero and Garcia",Suministro de Equipamiento,2025-01-08,2025-02-28,204113.71027833124,"Arias, Ramos and Muñoz",3783703.2394400286,Licitación Pública,3,0,0
120,Dominguez Inc,Construcción de Obra,2025-01-24,2025-06-13,3275750.785610631,Gomez Group,2553778.393044343,Contratación Directa,5,0,0
