ID_Contrato,Organismo,Proveedor,Fecha_Inicio,Fecha_Fin,Tipo_Contrato,Monto,Area_Solicitante,Proceso_Licitacion,Es_Sospechoso
57,Ledesma Inc,"Medina, Fernandez and Suarez",2025-01-02,2025-08-17,Obra Pública,457915.1209713665,Tecnología,Pública,0
58,Perez-Ortiz,Ojeda Ltd,2025-02-18,2025-07-26,Suministro,149448.45017600185,Tecnología,Privada,0
59,"Alvarez, Rodriguez and Garcia",Gimenez LLC,2025-02-09,2025-04-27,Servicios,184623.1166411611,Salud,Directa,0
60,Torres and Sons,Perez Ltd,2025-03-17,2025-11-30,Servicios,503384.09501208493,Tecnología,Pública,0
61,Ortiz-Alvarez,"Barrios, Gomez and Paez",2025-02-26,2026-01-29,Suministro,424736.1950095024,Tecnología,Privada,0
62,Cruz-Gonzalez,Rios Inc,2025-01-27,2025-09-05,Consultoría,915697.442057419,Infraestructura,Pública,0
63,"Benitez, Rodriguez and Martin",Velazquez LLC,2025-02-28,2025-10-10,Servicios,368769.9601254668,Salud,Directa,0
64,Gomez-Paz,Gutierrez-Garcia,2025-01-21,2025-05-19,Servicios,584782.466775263,Salud,Directa,0
65,"Vera, Gomez and Ledesma",Romero-Miranda,2025-02-07,2025-08-29,Consultoría,635941.645040335,Infraestructura,Pública,0
66,Hernandez and Sons,"Gutierrez, Lopez and Correa",2025-03-02,2025-06-28,Servicios,22963.512022450297,Educación,Pública,0
67,"Avila, Miranda and Diaz",Martinez LLC,2025-02-27,2025-04-16,Consultoría,666901.9982965435,Salud,Privada,0
68,"Gonzalez, Lopez and Ponce",Mendoza Inc,2025-03-14,2025-06-21,Suministro,186255.6072010539,Salud,Pública,0
69,Molina Ltd,Diaz Group,2025-01-12,2025-11-09,Consultoría,961459.6142947606,Educación,Privada,0
70,Silva-Aguirre,"Rodriguez, Gonzalez and Dominguez",2025-02-26,2025-07-05,Suministro,157176.10047558183,Salud,Privada,0
71,Gimenez Inc,"Perez, Dominguez and Coronel",2025-03-21,2025-08-10,Suministro,420477.8824897535,Educación,Directa,0
72,"Aguirre, Ferreyra and Miranda",Sanchez Ltd,2025-03-02,2025-11-26,Suministro,94496.17139785743,Tecnología,Pública,0
73,Coronel-Castillo,"Franco, Fernandez and Romero",2025-02-14,2026-02-06,Consultoría,996905.5093274879,Salud,Pública,0
74,Lopez-Martinez,Rodriguez Ltd,2025-02-15,2025-06-10,Obra Pública,507173.06022793014,Tecnología,Directa,0
75,"Lopez, Gomez and Ruiz",Avila PLC,2025-01-07,2025-06-09,Suministro,599431.1671468434,Educación,Privada,0
76,Mansilla and Sons,Dominguez LLC,2025-02-03,2025-03-15,Suministro,76405.71261454321,Salud,Directa,0
77,Gutierrez PLC,Rios LLC,2025-03-21,2025-12-07,Obra Pública,752460.865695186,Salud,Pública,0
78,"Fernandez, Aguirre and Lopez",Soria-Godoy,2025-02-16,2025-11-21,Consultoría,217806.5371646299,Salud,Pública,0
79,Cardozo LLC,Quiroga-Gomez,2025-02-17,2025-09-22,Obra Pública,899073.7465463066,Educación,Pública,0
80,"Soto, Rivero and Acosta",Mendoza LLC,2025-03-02,2025-07-31,Servicios,213088.2440771871,Tecnología,Pública,0
81,"Barrios, Silva and Guzman",Sosa-Valdez,2025-02-12,2025-08-06,Servicios,198780.8434570299,Salud,Privada,0
82,Rojas-Garcia,"Mansilla, Gomez and Rodriguez",2025-01-11,2025-07-04,Consultoría,46184.17116961393,Salud,Privada,0
83,Dominguez-Mendez,Romero-Gimenez,2025-03-19,2025-09-13,Suministro,477346.2756588993,Educación,Privada,0
84,"Gutierrez, Lopez and Vargas",Diaz LLC,2025-01-29,2025-06-19,Servicios,569192.7219299902,Salud,Pública,0
85,Vega-Castillo,Fernandez LLC,2025-02-26,2025-03-29,Obra Pública,75051.55303406884,Salud,Directa,0
86,Sanchez-Pereyra,Mendez Group,2025-03-06,2025-09-23,Suministro,777772.3405280604,Tecnología,Privada,0
87,"Sanchez, Gonzalez and Alvarez",Gonzalez-Diaz,2025-02-05,2025-11-07,Obra Pública,458755.94640054734,Salud,Privada,0
88,Cordoba-Gonzalez,Martinez Ltd,2025-01-04,2025-05-11,Servicios,529146.3666343042,Tecnología,Privada,0
89,Flores-Ramos,Medina Ltd,2025-03-15,2025-03-15,Suministro,446355.11946884583,Tecnología,Privada,0
90,Sosa Group,Torres-Ferreyra,2025-02-04,2025-07-04,Suministro,406755.43026657274,Infraestructura,Directa,0
91,Gomez Inc,Muñoz-Fernandez,2025-01-09,2025-06-02,Consultoría,564043.9279951357,Salud,Pública,0
92,Molina-Soria,Garcia-Perez,2025-02-08,2025-10-20,Suministro,163687.8434714054,Tecnología,Directa,0
93,Caceres LLC,"Molina, Gomez and Diaz",2025-03-06,2025-08-05,Servicios,190108.8491903184,Educación,Privada,0
94,Suarez Inc,"Diaz, Chavez and Alvarez",2025-03-09,2025-07-21,Consultoría,863167.7648033821,Salud,Directa,0
95,Peralta Ltd,Fernandez-Campos,2025-02-12,2026-01-24,Servicios,946654.3075122964,Infraestructura,Directa,0
96,"Gimenez, Godoy and Ledesma","Aguirre, Diaz and Sosa",2025-03-07,2026-03-08,Suministro,379576.2231169554,Infraestructura,Pública,0
97,"Gonzalez, Martinez and Juarez","Gonzalez, Rodriguez and Medina",2025-01-30,2025-10-27,Consultoría,278037.22641211824,Tecnología,Directa,0
98,Hernandez Ltd,Acosta-Cardozo,2025-02-12,2025-10-31,Servicios,647559.5478066256,Salud,Pública,0
99,Gonzalez LLC,Sanchez-Caceres,2025-01-15,2025-08-16,Consultoría,414646.82938711543,Salud,Directa,0
100,Gutierrez-Gomez,Carrizo Inc,2025-03-02,2025-05-22,Consultoría,35132.49210374142,Salud,Privada,0
