ID_Proyecto,Organismo_Contratante,Empresa_Constructora,Tipo_Obra,Fecha_Inicio,Fecha_Fin_Estimada,Monto_Contrato,Estado_Obra,Plazo_Ejecucion_Dias,Adjudicacion_Unica,Modificaciones_Contrato,Avance_Obra_Porcentaje,Es_Sospechoso
38,Lopez-Quiroga,"Aguirre, Miranda and Sosa",Vial,2025-01-06,2025-12-22,2387700.443457512,Demorada,715,1,4,3.172249181603115,0
39,Acosta-Ramirez,Diaz PLC,Hidráulica,2025-02-12,2026-10-30,8984118.602890776,En Curso,181,0,0,53.496667340944406,0
40,Perez PLC,"Lopez, Moreno and Cardozo",Infraestructura,2025-03-06,2026-04-26,2636295.992949614,Suspendida,360,1,1,3.7697724914852793,0
41,"Nuñez, Cruz and Nuñez","Lopez, Villalba and Gomez",Infraestructura,2025-02-03,2025-10-13,2284445.4902553097,Suspendida,567,1,3,80.80678171160226,0
42,"Miranda, Suarez and Fernandez",Ramirez PLC,Edificación,2025-01-28,2027-01-05,1467440.4020884477,En Curso,412,1,0,32.07245244599576,0
43,Toledo-Paez,Alvarez-Garcia,Vial,2025-01-24,2025-12-10,8605206.400704473,En Curso,144,0,4,56.24293741179209,0
44,"Bustos, Quiroga and Barrios",Valdez-Ayala,Hidráulica,2025-02-14,2026-11-01,5050576.765991759,Finalizada,511,1,1,27.94453073189026,0
45,Medina-Suarez,Gomez and Sons,Infraestructura,2025-03-10,2026-03-15,6781442.710236132,Suspendida,313,1,1,78.25001443802935,0
46,Bustos-Medina,"Herrera, Garcia and Valdez",Infraestructura,2025-02-22,2026-07-14,2466757.202342794,En Curso,104,1,4,88.65025266419025,0
47,Gonzalez-Sosa,Arias Inc,Edificación,2025-03-23,2025-05-02,7604600.168011043,Suspendida,195,1,4,39.8642494213064,0
48,Rios-Aguero,"Paz, Ramirez and Romero",Edificación,2025-03-21,2025-06-15,7624054.895124775,En Curso,218,0,0,86.2922393510989,0
49,"Morales, Gonzalez and Martinez","Rodriguez, Rojas and Lopez",Hidráulica,2025-01-04,2026-08-18,3194720.446592171,En Curso,107,1,2,26.70750074563324,0
50,"Perez, Gonzalez and Lopez",Aguirre Ltd,Infraestructura,2025-01-04,2026-11-18,4165758.0668018004,Demorada,631,1,1,53.46609230755238,0
51,"Luna, Muñoz and Martinez",Ramos-Nuñez,Vial,2025-02-03,2026-04-26,2175933.7465589885,Finalizada,717,1,0,85.8761429838704,0
52,"Perez, Mansilla and Torres",Gonzalez-Perez,Vial,2025-02-08,2026-12-03,9767954.130896753,Finalizada,50,1,4,32.588134261579036,0
53,Acosta-Rojas,"Lopez, Toledo and Ramos",Hidráulica,2025-02-01,2025-07-20,6491465.5128782755,Suspendida,595,0,0,95.40422650780857,0
54,Garcia-Lopez,"Molina, Barrios and Pereyra",Hidráulica,2025-02-01,2026-10-18,9351984.419083605,Suspendida,213,1,4,12.187950178138362,0
55,Rodriguez Inc,Sosa-Fernandez,Edificación,2025-01-04,2026-05-05,3103516.8819284183,Finalizada,251,1,3,1.8275069723506232,0
56,Martinez LLC,"Rodriguez, Fernandez and Mendoza",Vial,2025-01-23,2025-10-04,7840720.038669208,Finalizada,357,0,4,90.41353525781906,0
57,Medina-Gonzalez,Ayala and Sons,Hidráulica,2025-03-01,2026-02-12,7682000.574458946,Suspendida,208,0,4,6.864866614787224,0
58,Fernandez Ltd,Diaz-Maldonado,Infraestructura,2025-01-26,2026-06-18,6947390.953478761,Suspendida,141,0,4,99.18891959474917,0
59,Romero LLC,"Flores, Muñoz and Martinez",Edificación,2025-02-17,2027-02-05,9659825.855141325,Demorada,88,0,2,95.1396861979106,0
60,Rodriguez and Sons,"Moreno, Quiroga and Fernandez",Infraestructura,2025-02-11,2025-10-11,3996197.827452524,Finalizada,356,0,4,13.702091003632066,0
61,Fernandez-Mansilla,"Perez, Fernandez and Ramos",Infraestructura,2025-01-18,2026-08-13,1394101.5035385971,Demorada,650,0,1,53.75846256925658,0
62,Carrizo Group,"Campos, Gomez and Maidana",Vial,2025-02-19,2026-09-28,6749917.706516202,Finalizada,698,1,1,18.492029746714433,0
63,Gonzalez-Aguirre,Vargas Group,Vial,2025-01-05,2026-05-13,7320167.024724341,En Curso,220,1,0,42.81551730301199,0
64,Flores-Bravo,Silva-Martinez,Edificación,2025-01-31,2026-05-22,5793099.677242265,Finalizada,229,1,2,6.142512925983268,0
65,Carrizo LLC,Juarez Ltd,Hidráulica,2025-03-10,2026-01-24,2147497.142020623,En Curso,341,1,0,22.392458779658952,0
66,Farias and Sons,"Juarez, Cruz and Peralta",Edificación,2025-02-24,2025-08-24,5094113.822526618,Demorada,64,1,1,36.32727963988995,0
67,"Quiroga, Castro and Lopez",Nuñez Inc,Vial,2025-02-14,2025-04-27,3190678.392034381,Finalizada,408,0,1,43.864750024605485,0
68,Flores-Juarez,Olivera-Herrera,Hidráulica,2025-01-22,2026-10-01,4331918.628850222,En Curso,416,1,3,97.74962582088932,0
69,Gonzalez-Cruz,Cordoba Group,Edificación,2025-02-08,2025-06-26,6487663.900862173,En Curso,266,1,4,80.78656456839812,0
70,Sosa Ltd,Diaz LLC,Hidráulica,2025-03-22,2025-06-18,7477625.952639262,Demorada,645,1,1,73.74099443119462,0
71,Soria LLC,Ledesma Group,Vial,2025-01-18,2025-08-27,2399024.4399232967,Suspendida,548,1,0,53.704131474197425,0
72,Caceres Inc,"Ramirez, Aguirre and Martinez",Edificación,2025-01-18,2025-07-03,4112721.0704048383,En Curso,312,1,0,83.99977606043434,0
73,"Bustos, Ponce and Romero","Ruiz, Diaz and Garcia",Infraestructura,2025-03-16,2026-03-12,2764699.552817129,En Curso,30,1,4,33.93228356557111,0
74,Morales-Ruiz,Lopez and Sons,Edificación,2025-01-18,2025-07-02,2066452.9772325042,Demorada,493,1,4,70.8899112773316,0
75,"Villalba, Vega and Garcia",Dominguez-Molina,Edificación,2025-02-13,2025-08-05,7855533.4779588,Suspendida,259,1,3,99.37839753781721,0
